NOMBRE                           TOKEN                TIPO       VALOR                          LONGITUD  
------                           -----                ----       -----                          --------  
DECVAR                           DEC_VAR              -          -                              6         
numero                           ID                   int        -                              6         
:                                DATA_TYPE_ASSIGN     -          -                              1         
INT                              PR_INT               -          -                              3         
cont                             ID                   int        -                              4         
a1                               ID                   float      -                              2         
FLOAT                            PR_FLOAT             -          -                              5         
b2                               ID                   int        -                              2         
texto                            ID                   string     -                              5         
STRING                           PR_STRING            -          -                              6         
hexVar                           ID                   int        -                              6         
valorReal                        ID                   float      -                              9         
cadenaLarga                      ID                   string     -                              11        
ENDDECVAR                        END_DEC_VAR          -          -                              9         
PROGRAM.SECTION                  PR_PROGRAM           -          -                              15        
=                                ASIGN                -          -                              1         
2                                CONST_INT            -          2                              1         
0                                CONST_INT            -          0                              1         
25.75                            CONST_FLOAT          -          25.75                          5         
100                              CONST_INT            -          100                            3         
"Hola Mundo"                     CONST_STR            -          Hola Mundo                     12        
0hFF                             CONST_HEX            -          255                            4         
99999.99                         CONST_FLOAT          -          99999.99                       8         
"@sdADaSjfla%dfg"                CONST_STR            -          @sdADaSjfla%dfg                17        
ENDPROGRAM.SECTION               PR_ENDPROGRAM        -          -                              18        
